File,Actual,Predicted
A_ 10.csv,Abdelrahman,Abdelrahman
A_ 2.csv,Abdelrahman,Abdelrahman
A_ 4.csv,Abdelrahman,Abdelrahman
A_ 5.csv,Abdelrahman,Abdelrahman
A_ 7.csv,Abdelrahman,Abdelrahman
A_ 8.csv,Abdelrahman,Abdelrahman
A_ 9.csv,Abdelrahman,Abdelrahman
A_1.csv,Abdelrahman,Abdelrahman
O_1.csv,Omar,Omar
O_10.csv,Omar,Omar
O_2.csv,Omar,Sherif
O_3.csv,Omar,Omar
O_4.csv,Omar,Renad
O_5.csv,Omar,Renad
O_6.csv,Omar,Renad
O_7.csv,Omar,Renad
1.csv,Reem,Youssef
10.csv,Reem,Abdelrahman
2.csv,Reem,Renad
3.csv,Reem,Renad
4.csv,Reem,Renad
5.csv,Reem,Renad
6.csv,Reem,Renad
7.csv,Reem,Reem
Renad_27.csv,Renad,Reem
Renad_28.csv,Renad,Reem
Renad_29.csv,Renad,Reem
Renad_30.csv,Renad,Renad
Renad_31.csv,Renad,Reem
Renad_32.csv,Renad,Reem
Renad_33.csv,Renad,Reem
Renad_34.csv,Renad,Renad
S_1.csv,Sherif,Sherif
S_10.csv,Sherif,Renad
S_2.csv,Sherif,Reem
S_3.csv,Sherif,Renad
S_4.csv,Sherif,Reem
S_5.csv,Sherif,Youssef
S_6.csv,Sherif,Renad
S_7.csv,Sherif,Youssef
Y_1.csv,Youssef,Abdelrahman
Y_10.csv,Youssef,Omar
Y_2.csv,Youssef,Omar
Y_3.csv,Youssef,Omar
Y_4.csv,Youssef,Omar
Y_5.csv,Youssef,Omar
Y_6.csv,Youssef,Abdelrahman
Y_7.csv,Youssef,Sherif
